sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag
275,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709770,City Gas Distribution Project at Pathankot District,151,151.0,8.77,2,2033-09-30,2033-09-30,,0,0,0,1
276,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709791,City Gas Distribution Projects at Alipurduar and Cooch Behar,1017,1017.0,176.15,32,2030-03-31,2030-03-31,,0,0,0,1
277,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709792,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",3638,3638.0,396.42,21,2030-03-31,2030-03-31,,0,0,0,1
278,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709794,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",3207,3207.0,334.82,22,2030-06-30,2030-06-30,,0,0,0,1
279,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709793,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",3919,3919.0,392.59,14,2030-06-30,2030-06-30,,0,0,0,1
280,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709795,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",16654,16654.0,603.21,9,2030-06-30,2030-06-30,,0,0,0,1
281,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709796,City Gas Distribution Projects at the Nilgiris and Erode districts,3685,3685.0,234.12,11,2030-03-31,2030-03-31,,0,0,0,1
282,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709838,Commercial Polymer Flooding Project in Bechraji field,621,621.4,137.71,21,2024-11-30,2025-11-30,,0,0,0,1
283,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709780,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,341,436.14,279.19,50,2026-08-31,2026-08-31,,0,0,0,1
284,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,616858,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",431,430.76,326.12,85,2024-03-31,2025-12-31,,0,0,0,1
285,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,610985,Construction of lube oil blending plant at Rasayani,423,526.26,287.49,78,2023-12-31,2025-12-31,,0,0,0,1
286,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709837,"Creation of Gas Dehydration Facilities, Tripura Asset",209,131.51,65.97,62,2024-05-31,2025-12-31,,0,0,0,1
287,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709800,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",394,393.54,100.39,43,2026-03-31,2026-03-31,,0,0,0,1
288,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709839,Daman Upside Development Project,4144,6406.9,3770.15,83,2025-10-31,2026-02-28,,0,0,0,1
289,Oil & Gas,Ministry of Petroleum & Natural Gas,NRL,709864,DCU Revamp Project,370,370.0,249.41,57,2024-07-17,2025-10-31,,0,0,0,1
290,Oil & Gas,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",400158,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,1165,1629.86,901.73,84,2024-02-29,2025-12-31,,0,0,0,1
291,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,616879,Demo Bio-ATF Project,364,364.0,22.82,10,2027-01-16,2027-01-16,,0,0,0,1
292,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],610984,Development of Jharia CBM Block [Phase-1],431,431.0,211.34,58,2024-01-21,2025-08-31,,0,0,0,1
293,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604863,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,683,726.93,488.37,94,2020-02-29,2025-12-31,,0,0,0,1
294,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701344,Dhamra Haldia Pipeline Project,1031,1125.0,853.7,87,2022-11-07,2025-12-31,,0,0,0,1
295,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,617302,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],1740,2493.15,2237.5,90,2020-12-31,2025-12-31,,0,0,0,1
296,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709798,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,43367,43367.0,1788.6,13,2028-05-31,2028-05-31,,0,0,0,1
297,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],612853,Gurdaspur Jammu Pipeline,522,521.9,190.1,36,2026-07-11,2026-07-11,,0,0,0,1
298,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,607701,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",412,577.0,430.83,84,2023-10-31,2026-05-31,,0,0,0,1
299,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709753,Haldia Panagarh Pipeline Project,1010,1010.0,627.12,81,2025-11-08,2025-11-08,,0,0,0,1
300,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709760,HP TDAE Unit in Mumbai Refinery,240,240.0,34.4,37,2026-04-19,2026-04-19,,0,0,0,1
301,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709761,HP Trijet Unit in Visakh Refinery,193,193.0,0.43,23,2027-07-28,2027-07-28,,0,0,0,1
302,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,160,220.0,77.06,64,2024-06-30,2026-03-31,,0,0,0,1
303,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604853,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",2282,3200.0,1800.61,63,2022-12-31,2026-03-02,,0,0,0,1
304,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709777,Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,389,340.0,46.94,37,2025-04-30,2026-10-31,,0,0,0,1
305,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709789,Installation of Independent De- Aromatized Solvents [DAS] production facilities at MR,405,343.0,201.28,84,2025-07-31,2025-12-31,,0,0,0,1
306,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709783,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",165,247.69,129.27,70,2023-06-30,2026-06-30,,0,0,0,1
307,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709778,Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,328,287.0,144.16,55,2025-08-08,2026-09-30,,0,0,0,1
308,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709851,Integrated Development of 4 Contract Areas under DSF-II,6184,6183.79,360.0,17,2027-04-30,2027-04-30,,0,0,0,1
309,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604859,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,13805,11783.0,8250.46,90,2024-01-31,2026-08-31,,0,0,0,1
310,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709842,"Kalol Redevelopment Project, Ahmedabad Asset",1487,1487.41,776.61,61,2027-03-31,2027-03-31,,0,0,0,1
311,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,34012,34012.0,35498.3,96,2020-06-30,2026-06-30,,0,0,0,1
312,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701228,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,2915,5909.0,4431.9,94,2012-12-31,2025-12-31,,0,0,0,1
313,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709785,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],202,202.07,55.46,45,2026-02-08,2026-02-08,,0,0,0,1
314,Oil & Gas,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited [CPCL],709750,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,205,205.0,19.86,39,2025-09-21,2025-12-31,,0,0,0,1
315,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,3191,3375.9,3074.01,89,2018-04-30,2025-12-31,,0,0,0,1
316,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,616933,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,4679,4679.0,188.88,4,2028-03-16,2028-03-16,,0,0,0,1
317,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701330,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,7392,7392.0,6304.0,90,2024-06-30,2025-12-31,,0,0,0,1
318,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709848,MHN TCPP PGC BGC Project [MTPBP],2329,2354.23,820.24,48,2026-05-19,2026-05-19,,0,0,0,1
319,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701341,Multi-product Pipeline from Krishnapatnam Coastal Installation to the proposed Installation at Hyderabad [Malkapur],1932,2208.0,1552.37,98,2025-03-31,2025-08-31,,0,0,0,1
320,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701354,Mumbai Nagpur Jharsuguda Pipeline Project,7844,8255.0,6495.6,95,2023-05-14,2025-09-30,,0,0,0,1
321,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701346,North East Gas Grid,9265,9265.0,6375.02,85,2024-03-31,2026-03-31,,0,0,0,1
322,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,604791,Numaligarh Refinery Expansion Project,12366,22494.0,16502.4,75,2024-07-27,2025-12-31,,0,0,0,1
323,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709841,Old Pipe Line Replacement [OPRP] Group-A,173,169.84,148.0,87,2025-07-18,2026-03-17,,0,0,0,1
324,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709846,Part Replacement Pipeline Project [PRPP],1219,1145.1,745.24,90,2024-05-15,2025-11-30,,0,0,0,1
325,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701329,Petrochemical and Lube Integration Project at Gujarat Refinery,18936,17825.0,12190.1,83,2024-08-31,2025-12-31,,0,0,0,1
326,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709847,Pipeline Network Project Rudrasagar,345,344.99,210.89,46,2026-04-27,2026-04-27,,0,0,0,1
327,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709797,POL & LOBS Installations with Receipt Pipelines at Rasayani,2585,2585.0,564.58,58,2026-05-31,2026-05-31,,0,0,0,1
328,Oil & Gas,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],611917,Poly Butadiene Rubber plant at Panipat,1459,2531.44,1043.9,70,2025-03-31,2026-06-30,,0,0,0,1
329,Oil & Gas,Ministry of Petroleum & Natural Gas,NRL,709865,Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,294,293.5,97.22,93,2024-12-31,2025-10-31,,0,0,0,1
330,Oil & Gas,Ministry of Petroleum & Natural Gas,Mangalore Refinary and Petrochemicals Limited,612790,Power System Upgradation Project,385,385.0,132.73,63,2025-11-17,2025-11-17,,0,0,0,1
331,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],400161,"PP Project, Pata",911,1299.02,1004.0,97,2024-01-31,2025-08-31,,0,0,0,1
332,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,616950,PRP-VIII [Group-A],1486,1486.4,184.56,17,2026-02-28,2026-02-28,2024-09-05,0,0,0,0
333,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709849,PRP-VIII Group B [NH & BS Asset],2380,3165.53,1652.62,61,2026-02-28,2026-02-28,,0,0,0,1
334,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],400169,Redevelopment of Linch Field,631,860.04,505.07,77,2025-03-31,2025-10-30,,0,0,0,1
335,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset],1163,1162.56,1156.9,94,2026-03-31,2026-03-31,,0,0,0,1
336,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],400087,Redevelopment of Sobhasan Complex,886,1286.67,765.43,73,2026-02-28,2026-02-28,,0,0,0,1
337,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],709790,Replacement and Extension of Jetty Pipelines [REJP] at KR,622,621.87,192.66,83,2026-03-31,2026-03-31,,0,0,0,1
338,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709840,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira",249,249.43,209.42,93,2025-02-10,2025-12-31,,0,0,0,1
339,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709781,Revamping / Augmentation of Facilities at Mathura Bitumen Plant,260,260.12,1.11,25,2027-06-30,2026-12-31,,1,0,0,1
340,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],709845,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal",837,837.34,205.78,49,2026-08-31,2026-08-31,,0,0,0,1
341,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,709774,Revamping/ Augmentation of facilities at existing port terminal at Mangalore,463,500.62,264.44,82,2025-12-31,2025-12-31,,0,0,0,1
342,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,617304,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar",340,340.15,88.08,24,2027-03-01,2027-03-01,,0,0,0,1
343,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,709799,Setting up Polypropylene Unit at Kochi Refinery,4460,4460.0,255.64,12,2027-10-31,2027-10-31,,0,0,0,1
344,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,701350,Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA,860,860.0,566.18,98,2024-12-20,2025-10-31,,0,0,0,1
345,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,616254,Visakh Raipur Pipeline Project,2212,2212.0,11.52,7,2027-09-10,2027-09-10,,0,0,0,1
346,Railways,Ministry of Coal,WR,400203,Dharamjaigarh-Korba,1686,,342.96,40,2026-12-31,2026-08-31,2018-05-22,1,1,0,0
347,Railways,Ministry of Coal,Ministry of Coal,400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],1800,1799.64,1293.71,60,2025-06-30,,2018-02-27,0,0,1,0
348,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,612834,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR],252,,79.55,45,2025-12-28,,2023-04-19,0,1,1,0
349,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,616697,3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction to Gangavaram port,154,,10.79,16,2026-06-30,,,0,1,1,1
350,Railways,Ministry of Railways,SECR,709819,3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI,177,177.0,0.0,0,2026-12-31,2026-12-31,,0,0,0,1
351,Railways,Ministry of Railways,South Central Railway [SCR] - II,617216,3rd Line between Gudur Renigunta 83.17 Km,877,,2.97,0,2027-03-31,,2024-10-03,0,1,1,0
352,Railways,Ministry of Railways,Central Railway [CR] - II,705498,3rd Line Kalyan - Kasara [67.35 Kilometres],793,1432.0,894.16,50,2026-12-31,2026-12-31,2015-09-14,0,0,0,0
353,Railways,Ministry of Railways,Central Railway [CR] - II,705506,3rd Line Manmad - Jalgaon [160 Kilometres],1035,1559.0,1692.0,97,2024-12-31,2025-08-31,2017-05-30,0,0,0,0
354,Railways,Ministry of Railways,Central Railway [CR] - II,705502,3rd Line Wardha - Ballarshah [132 Kilometres],1385,1385.0,1102.48,77,2025-12-31,2026-02-28,2016-03-07,0,0,0,0
355,Railways,Ministry of Railways,Central Railway [CR] - II,705500,3rd Line Wardha - Sewagram - Nagpur,540,698.0,724.75,80,2025-12-31,2025-12-31,2015-09-04,0,0,0,0
356,Railways,Ministry of Railways,SECR,709815,4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23],177,177.03,0.0,0,2027-01-31,2027-12-31,,0,0,0,1
357,Railways,Ministry of Railways,SECR,709816,4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23],177,177.34,0.76,2,2027-02-28,2027-02-28,,0,0,0,1
358,Railways,Ministry of Railways,SECR,709817,4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23],169,169.06,10.13,4,2026-11-30,2026-11-26,,1,0,0,1
359,Railways,Ministry of Railways,Western Railway,612072,4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS,962,961.67,132.63,16,2027-03-31,2027-03-27,2023-02-03,1,0,0,0
360,Railways,Ministry of Railways,South East Central Railway [SECR] - II,612815,4th line between Nipania Bhatapara 14.4 Km,170,,0.0,0,2027-03-31,,,0,1,1,1
361,Railways,Ministry of Railways,SECR,709818,4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23],328,328.34,48.02,25,2027-01-31,2027-01-31,,0,0,0,1
362,Railways,Ministry of Railways,Central Railway [CR] - II,705505,4th Line Wardha - Nagpur [78.7 Kilometres],638,1137.0,969.0,80,2025-12-31,2026-02-28,2017-04-20,0,0,0,0
363,Railways,Ministry of Railways,Western Railway [WR] - II,611937,Adraj Moti Vijapur 40 Kms,418,417.53,223.0,86,2026-05-31,2026-05-31,2022-05-01,0,0,0,0
364,Railways,Ministry of Railways,CAO/C/NCR,705919,Agra Fort-Bandikui Doubling Line Project,1390,1390.0,123.0,25,2027-06-30,2027-06-27,2022-06-01,1,0,0,0
365,Railways,Ministry of Railways,Northeast Frontier Railway [NFR],613788,AGTHORI KAMAKHYA SECTION WITH CONSTRUCTION OF NEW RAIL CUM-ROAD BRIDGE AT SARAIGHAT - 7.062KM,1474,,0.0,0,2029-12-31,,2024-02-19,0,1,1,0
366,Railways,Ministry of Railways,Central Railways,705356,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],2539,4957.0,4725.34,92,2026-03-31,2026-03-31,1999-01-01,0,0,0,0
367,Railways,Ministry of Railways,North Western Railway [NWR],616843,AJMER- CHANDERIYA DOUBLING,1635,,59.51,5,2027-06-30,,2024-02-19,0,1,1,0
368,Railways,Ministry of Railways,CAO/C/NCR,705774,Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project,758,779.49,315.37,55,2025-01-31,2027-03-31,2019-04-01,0,0,0,0
369,Railways,Ministry of Railways,North Central Railway,705918,Allahabad division - Aligarh - Harduaganj Flyover,1457,1457.0,50.0,8,2026-06-30,2027-03-31,2020-04-30,0,0,0,0
370,Railways,Ministry of Railways,Construction NER,617252,Anandnagar - Ghugli via Maharajganj 50 km,958,,432.01,23,2028-03-21,,2023-10-25,0,1,1,0
371,Railways,Ministry of Railways,East Central Railway [ECR] - II,705368,Araria Supaul New BG Line,1605,2514.0,1311.39,33,2024-03-31,2027-01-31,2018-06-29,0,0,0,0
372,Railways,Ministry of Railways,South Central Railway [SCR] - II,611751,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,961,,0.0,0,2027-03-31,,2023-05-25,0,1,1,0
373,Railways,Ministry of Railways,CAO/C/SER,616587,Badampahar-Kendujhargarh new line [82.06 km],1876,,0.0,0,2029-12-31,,,0,1,1,1
374,Railways,Ministry of Railways,South Western Railway [SWR] - II,705495,Bagalkot-Kudachi New Railway Line [142 km],1378,1649.0,670.74,35,2027-03-31,2027-01-31,2021-11-18,1,0,0,0
375,Railways,Ministry of Railways,CAO/C/ECoR,705767,Baghuapal Flyover Construction Project,258,258.0,0.83,0,2028-03-31,2028-03-31,2019-08-01,0,0,0,0
376,Railways,Ministry of Railways,North Eastern Railway [NER],705863,Bahraich - Nanpara - Nepalganj Road Gauge Conversion,950,950.0,507.02,86,2025-07-31,2025-08-31,2020-07-01,0,0,0,0
377,Railways,Ministry of Railways,North Eastern Railway [NER],400204,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar,4940,4939.78,1217.13,8,2030-10-30,2030-10-31,2018-10-03,0,0,0,0
378,Railways,Ministry of Railways,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],703586,Baiyyappanahalli - Hosur Doubling Project [48 km],499,499.0,595.0,97,2024-12-31,2026-01-26,2019-04-01,0,0,0,0
379,Railways,Ministry of Railways,CAO/C/SER,616586,Bangriposi-Gorumahisani new line [ 85.60 km ],2269,,0.0,0,2029-12-31,,,0,1,1,1
380,Railways,Ministry of Railways,CAO/C/NR,705782,Barabanki-Malhaur 3rd & 4th Railway Line Project,407,407.0,317.0,75,2025-03-31,2026-03-31,2019-01-01,0,0,0,0
381,Railways,Ministry of Railways,Central Railway [CR] - II,705357,Baramati Lonand New Line Project,736,1844.0,712.0,50,2027-03-31,2027-03-31,2016-03-31,0,0,0,0
382,Railways,Ministry of Railways,South Western Railway [SWR] - II,706835,Belgaum-Dharwad via Kittur [73.10Km],1591,1591.0,0.75,0,2027-12-31,2029-03-31,2020-09-07,0,0,0,0
383,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,705510,Bhadrak-Nergundi Third Line,1284,1284.0,1298.0,80,2024-11-30,2026-01-31,2015-10-05,0,0,0,0
384,Railways,Ministry of Railways,CAO/C/NCR,705777,Bhandai Flyover Construction Project,250,250.18,118.0,15,2026-02-28,2027-02-28,2019-04-01,0,0,0,0
385,Railways,Ministry of Railways,RVNL - II,705428,Bhanupalli-Bilaspur-Beri New Railway Line Project,13447,13447.0,6391.15,59,2026-12-31,2027-12-30,2009-03-31,0,0,0,0
386,Railways,Ministry of Railways,RVNL - II,705780,Bhatni-Aurnihar with electrification excluding Indara-Mau,2529,2529.46,2051.69,94,2024-12-31,2025-10-31,2018-03-01,0,0,0,0
387,Railways,Ministry of Railways,North Western Railway [NWR],611884,Bhiwani - Dobh Bahali Doubling Project [42.30 Km],471,471.0,187.33,57,2028-02-29,2028-02-28,2023-02-01,1,0,0,0
388,Railways,Ministry of Railways,South East Central Railway [SECR] - II,706854,Boridand - Ambikapur Doubling Line Project,1376,1576.23,218.0,18,2030-06-30,2030-06-30,2022-06-01,0,0,0,0
389,Railways,Ministry of Railways,EDTK[MC]/RB,705722,BRM Machine Procurement Project,210,,0.02,0,2024-06-30,2027-12-31,,0,1,0,1
390,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,400232,Brundamal-Jharsuguda- flyover connection for joining downline,297,297.0,193.22,30,2026-12-31,2026-12-31,2014-01-30,0,0,0,0
391,Railways,Ministry of Railways,South Eastern Railway [SER] - I,616588,Buramara-Chakulia new line [59.96 km],1459,,1.04,0,2029-12-31,,,0,1,1,1
392,Railways,Ministry of Railways,North Eastern Railway [NER],705567,Burhwal Gonda 3rd line,1016,1118.0,1113.75,70,2025-03-31,2025-09-30,2017-11-10,0,0,0,0
393,Railways,Ministry of Railways,Northen Railway [NR],705424,Chandigarh-Baddi New Rail Line- 36 km,1540,1540.0,506.73,31,2026-12-31,2026-12-31,2018-02-15,0,0,0,0
394,Railways,Ministry of Railways,CAO/C/SER,616227,Chandil - Anara - Damodar - 3rd line [121.26 km],1932,,0.03,0,2029-09-30,,,0,1,1,1
395,Railways,Ministry of Railways,North Eastern Railway [NER],705562,Chhapra-Ballia Patch Doubling,963,1046.0,906.0,95,2025-02-28,2026-03-31,2013-03-31,0,0,0,0
396,Railways,Ministry of Railways,Western Railway [WR] - II,705454,Chhota Udaipur - Dhar New Line Project [157 km],1794,1794.0,1800.85,80,2025-12-27,2025-12-27,2008-11-19,0,0,0,0
397,Railways,Ministry of Railways,South East Central Railway [SECR] - II,705756,Chirimiri-Nagpur Halt New Railway Line Project,241,656.52,71.0,0,2030-06-30,2030-06-30,2018-10-01,0,0,0,0
398,Railways,Ministry of Railways,PCE/WR,611969,Choranda Motikoral 18 Kms,246,,0.0,0,2026-10-30,,,0,1,1,1
399,Railways,Ministry of Railways,North Central Railway,617284,Chunar-Chopan doubling project,1424,,26.0,2,2028-03-31,,2023-08-25,0,1,1,0
400,Railways,Ministry of Railways,CPM/ICF,705244,Coach Production Factory Upgradation Project,520,,192.25,0,2021-12-31,,,0,1,1,1
401,Railways,Ministry of Railways,Northeast Frontier Railway [NFR],612096,Construction of Balurghat-Hilli new BG Line,1209,1209.0,405.31,9,2027-03-31,2025-03-27,2010-12-29,1,0,0,0
402,Railways,Ministry of Railways,East Central Railway [ECR] - I,617231,Construction of Bulb line at Nabinagar Ankorah of East Central Railway,612,,0.0,0,2028-06-30,,2024-06-07,0,1,1,0
403,Railways,Ministry of Railways,South Western Railway [SWR] - II,400023,Construction of New BG line between Hassan to Belur [27 Km],749,749.0,0.0,0,2028-04-30,2027-04-30,2019-03-01,1,0,0,0
404,Railways,Ministry of Railways,PCE/WR,611977,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives Manufacturing at,487,,108.69,0,2025-02-28,,,0,1,1,1
405,Railways,Ministry of Railways,PCE/WR,611978,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,158,,47.31,0,2025-03-31,,,0,1,1,1
